Model,Variable,Beta,SE,OR,OR_95CI_lower,OR_95CI_upper,P_value
Age_Sex,Age,0.02668550267185911,0.0224276143762273,1.0270447491369161,0.9828756950549572,1.073198698509613,0.2341052534377216
Age_Sex,Sex_male,-0.8339474598084035,0.2877189048018364,0.43433139217908734,0.24712116570530424,0.7633654434002822,0.0037497635381441878
Age_Sex_ABCA6,Age,0.03140850949312959,0.023257700860369986,1.0319069615857603,0.9859234303969268,1.0800351675793536,0.17686965051152326
Age_Sex_ABCA6,Sex_male,-0.8644562212681202,0.2973331566573685,0.4212805737694346,0.23522113476110137,0.7545126504714642,0.0036448681502165054
Age_Sex_ABCA6,ABCA6_z,-0.5225233786541104,0.15519693560624556,0.5930222387058566,0.43748652553217876,0.8038541876733502,0.0007603456177927514
Age_Sex_ABCA6_CRLF1,Age,0.03136755851263487,0.023331224220713546,1.0318647048491374,0.9857409954755456,1.0801465841437776,0.1788043813448289
Age_Sex_ABCA6_CRLF1,Sex_male,-0.8690164348614023,0.29812643751433976,0.41936381809963996,0.23378713610618435,0.7522484549844132,0.0035577315396253142
Age_Sex_ABCA6_CRLF1,ABCA6_z,-0.4966431443009397,0.1567724426291345,0.6085701167807542,0.447572326056528,0.8274809801170883,0.0015353178252768467
Age_Sex_ABCA6_CRLF1,CRLF1_z,-0.14716849974782226,0.14632441039822044,0.8631485248535326,0.6479353577734465,1.149845223012711,0.3145268874273497
Age_Sex_ABCA6_CRLF1_TNFRSF11B,Age,0.030863624046115007,0.023428226304088966,1.031344843658566,0.9850570708789255,1.07980767610961,0.18771489546529474
Age_Sex_ABCA6_CRLF1_TNFRSF11B,Sex_male,-0.8742725456324099,0.29914375767284507,0.4171653781017331,0.2320982952388536,0.74979849596771,0.0034714076899007382
Age_Sex_ABCA6_CRLF1_TNFRSF11B,ABCA6_z,-0.49667120496911926,0.15664178676116755,0.6085530401362353,0.4476743952981671,0.8272458879681894,0.001520484100045608
Age_Sex_ABCA6_CRLF1_TNFRSF11B,CRLF1_z,-0.14887401568693237,0.14661207608102206,0.861677665929779,0.6464666388518346,1.1485332039421214,0.3099018239400809
Age_Sex_ABCA6_CRLF1_TNFRSF11B,TNFRSF11B_z,-0.03284874049043327,0.1474782011030926,0.9676849200659703,0.7247663045419763,1.2920221299676176,0.8237407917427937
