Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Positive Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042531),1/55,0.0082276520870908,0.0375978041005976,0,0,184.65740740740745,886.4025678735231,CRLF1
GO_Biological_Process_2023,Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042509),1/65,0.0097187302814845,0.0375978041005976,0,0,155.7265625,721.5902191436588,CRLF1
GO_Biological_Process_2023,Negative Regulation Of Neuron Apoptotic Process (GO:0043524),1/74,0.0110594228380556,0.0375978041005976,0,0,136.46575342465752,614.7062292455009,CRLF1
GO_Biological_Process_2023,Negative Regulation Of Neuron Death (GO:1901215),1/88,0.0131425395073886,0.0375978041005976,0,0,114.42528735632185,495.67901892070734,CRLF1
GO_Biological_Process_2023,Regulation Of Neuron Apoptotic Process (GO:0043523),1/105,0.0156681043562104,0.0375978041005976,0,0,95.63942307692308,397.4897035431012,CRLF1
GO_Biological_Process_2023,Lipid Transport (GO:0006869),1/108,0.0161133446145418,0.0375978041005976,0,0,92.94392523364486,383.6825141169492,ABCA6
GO_Biological_Process_2023,Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731),1/130,0.0193743389965825,0.038748677993165,0,0,77.0077519379845,303.7036203266635,CRLF1
GO_Biological_Process_2023,Organic Substance Transport (GO:0071702),1/201,0.0298493008283308,0.0522362764495789,0,0,49.4925,173.79755922762263,ABCA6
GO_Biological_Process_2023,Cytokine-Mediated Signaling Pathway (GO:0019221),1/257,0.0380584261648899,0.0592019962564954,0,0,38.556640625,126.0274990245008,CRLF1
GO_Biological_Process_2023,Cellular Response To Cytokine Stimulus (GO:0071345),1/308,0.0454941879785715,0.0636918631700001,0,0,32.068403908794785,99.09684208798735,CRLF1
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Process (GO:0043066),1/482,0.0705747418285925,0.0825038645757053,0,0,20.286902286902286,53.78226102411079,CRLF1
GO_Biological_Process_2023,Positive Regulation Of Cell Population Proliferation (GO:0008284),1/483,0.0707175982077474,0.0825038645757053,0,0,20.24377593360996,53.62699373985084,CRLF1
GO_Biological_Process_2023,Positive Regulation Of Cellular Process (GO:0048522),1/594,0.0864838321352061,0.0931364346071451,0,0,16.36087689713322,40.04811838073629,CRLF1
GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),1/766,0.1105605082321837,0.1105605082321837,0,0,12.569934640522876,27.68141355444605,CRLF1
