,ABCA6,CRLF1,TNFRSF11B,PLA2G7,SORBS1,PMS2P2,TAB2
GSM119628,2.4132780828156,3.1913733997053,2.52889203780853,2.62833262599325,8.91530385880444,3.09250396240615,6.26421963768063
GSM119629,2.6418209717064,3.2332245343767,2.22714044816754,2.42197529678266,8.74939386094299,2.97563162048729,5.18683504382534
GSM119630,2.54219422887367,3.33481857215726,2.37591933093205,2.60383593529524,10.149780632134,3.13646538145515,6.39444424698141
GSM119631,2.41746144109221,3.32235450228872,2.52889203780853,2.52651401283275,9.16540775358607,3.01368664433954,5.52170530587368
GSM119632,2.67251777595521,5.4437567072676,2.51832781315811,3.10490751004508,9.7153697443832,3.00275257356695,6.5950950031042
GSM119633,2.48264103751349,3.93244858976598,2.52889203780853,2.7355022618663,9.43982248224956,2.93862532916599,5.80963790800311
GSM119634,2.55389430595447,3.29072969862123,3.02469846020688,2.65717047334375,8.59265797872062,3.23580389969199,4.42696843364435
GSM119635,2.5035049619183,3.26392353668697,2.46129409913559,2.56126719031348,8.92600703658485,3.44467787043665,6.00094334461527
GSM119636,2.58392864010608,3.37897262877982,2.54809348094468,2.42903240702175,8.90969532447386,2.83153760649716,6.3114792304052
GSM119637,2.45640842846993,3.63693563164748,2.66923593840836,2.76840874458854,8.96142674707935,2.85287270260714,5.63528272091796
GSM119638,2.72542396636669,3.57128041566909,2.4978130754396,2.64603963154068,8.84526176069673,3.04022914090406,5.92088802133327
GSM119639,2.64457805943247,3.18267295726112,2.39653368278499,2.53093130364923,8.85968865242715,3.24046173685453,5.07778221707251
GSM119640,2.55140746659826,3.57128041566909,2.53075840926996,2.59740005054422,8.71954510057063,3.09437033386757,5.8805319950468
GSM238799,2.58494431668905,3.12333432364766,2.47339546896086,2.32991989874974,8.49102289521207,3.36670090654905,5.99725997529595
GSM238800,2.52337191453791,3.46102817211714,2.60950872035542,2.60344700386541,8.27770104484776,3.43689013549178,5.52635936408275
GSM238801,2.55422731471622,3.1002097792346,2.53917424584995,3.10577441782372,8.74939386094299,2.95935478857285,7.0424110717342
GSM238802,2.58392864010608,3.29974226616745,2.5217505016538,2.60344700386541,8.17441999938312,3.19074555684142,5.29196000616488
GSM238803,2.58392864010608,3.76018898249813,2.52889203780853,3.51602206663701,8.44816760582314,3.01328732682819,5.6419597543433
GSM238804,2.86424451363797,3.53189194348037,2.6846932089346,3.22021501646041,7.74861698984353,3.09250396240615,5.78348241894229
GSM238805,2.64906748910362,4.15684024186891,2.44213004698153,2.4537162048512,7.89359430071294,2.99950013606022,6.0502183091897
GSM238806,3.11781817040055,3.49839103581192,2.51990105931738,3.57367813092525,7.79234070730295,3.45552486350078,5.48314863831808
GSM238807,2.52420448434676,3.63226482033214,2.69652195016608,2.744455436234,8.14186078955187,3.2401624796401,5.35665179358727
GSM238808,2.50817693284044,4.82212269234617,2.85513768566866,2.47769383173027,8.99319582855107,3.04359714198719,5.98680084825686
