PC,variance_explained,control_mean,AD_mean,mann_whitney_U,mann_whitney_p,PC_AUC_for_diagnosis,spearman_rho,spearman_p
PC1,0.2696938244251239,44.47995090607422,-57.8239361778965,115.0,0.002141593618601458,0.11538461538461536,-0.6611073566849314,0.0005935097806000887
PC2,0.09398727088800049,-25.974721241710505,33.76713761422365,12.0,0.0011302886391506167,0.9076923076923076,0.7007737980860274,0.00019588233861646379
PC3,0.0822418196252284,6.843128895383133,-8.896067563998063,76.0,0.5149287781946421,0.41538461538461535,-0.1454436184706849,0.5078688528168934
PC4,0.0663482615066977,-2.274468991238412,2.9568096886099275,58.0,0.6868651803414656,0.5538461538461539,0.0925550299358904,0.6744646991942465
PC5,0.05125849942595741,3.672986057369874,-4.774881874580837,65.0,1.0,0.49999999999999994,0.0,1.0
PC6,0.04741307360197107,2.006456434140924,-2.6083933643832085,64.0,0.9752626144551187,0.5076923076923077,0.013222147133698627,0.9522533308434011
PC7,0.043023470444221674,4.6147530135799775,-5.999178917653979,85.0,0.22653276315984072,0.34615384615384615,-0.26444294267397256,0.22271082978701462
PC8,0.03647039847593428,0.5589130996460427,-0.7265870295398593,69.0,0.8281609739814659,0.46923076923076923,-0.05288858853479451,0.810588225974335
PC9,0.030294714831413615,-0.042972265810344086,0.05586394555344505,73.0,0.6418381810738645,0.43846153846153846,-0.10577717706958902,0.6309776982486521
PC10,0.029116285685506144,-0.3691438416759709,0.47988699417875313,69.0,0.8281609739814659,0.46923076923076923,-0.05288858853479451,0.810588225974335
