,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Group
GSM119628,89.95759758024926,-5.039944170828867,-21.882541452401977,38.64103903135197,-0.529323468226712,9.579559419330543,-17.332516593495452,24.406874421978696,33.35309361109482,-9.15304479434856,Control
GSM119629,5.003135317403259,-52.04793099808782,42.8103598390558,80.03020332511218,0.16339504658041826,-74.35939756043786,33.75341261985832,-61.1698548947531,-15.005919750568392,-40.738244100808046,Control
GSM119630,-34.24718153776525,-37.39788171617927,128.51422555316253,-20.79888385125247,86.89355600412317,0.20143386087729537,-51.00253402486728,16.942777389917584,16.786348928096654,10.23562261880347,Control
GSM119631,68.05537392398757,-16.84718638945156,-5.378107724789117,10.73758778155894,-10.944652261647498,-19.496670485855205,-5.546960120211185,15.085277806326037,14.745634930948833,5.022281621859437,Control
GSM119632,114.65472757353592,35.4939316379003,5.66739218113492,-23.643228802097553,48.30166307165637,52.90589737462421,29.9629037395738,-53.45433655730508,-22.493074014271954,-8.853362334745608,Control
GSM119633,29.022330133584706,6.538267236201727,51.17079238300696,-21.628386275750195,-21.622757499743916,-17.824279799970906,88.08307217105042,36.715805216129894,-24.15978219859967,53.67963611860119,Control
GSM119634,-79.90857319353671,-101.77257343910198,33.28221944613836,22.23997506999244,-65.17855856683258,99.36346421645035,9.237440618577134,-17.85641027269983,11.350060852483216,0.7848105931219392,Control
GSM119635,113.66544298611406,-3.6304408611747845,-31.493597126900916,1.963621500652786,13.54261894959263,10.875272686089707,-6.262091371312321,-14.064941281577763,22.905781412324767,8.112399258050296,Control
GSM119636,93.98907308352743,22.98246063032442,-1.3355598826002237,6.90518091122028,13.102312395161187,19.21596326298275,19.034332010861267,2.3889122730708516,7.679843356499945,6.3477396961003425,Control
GSM119637,63.10061810542069,-35.184805987239905,-49.16941360522154,-49.610229136414226,-7.041474135285958,-13.951570692700264,-15.580251621165761,-22.781430271891562,5.89279588385318,11.870337308751566,Control
GSM119638,16.63947328131242,-79.40894413166966,-44.87249259696937,-62.33577050734193,-1.9738369750725282,-18.816888203054695,-17.431416207599703,23.079860991797805,-48.02919215133528,-25.302660798192754,Control
GSM119639,29.539548461469934,-41.166734133550335,1.4339421465478301,33.42052362516026,1.1353644068519482,-6.732243743733823,0.40596736152385493,55.643467516347364,-5.718505975110533,-21.014575050751255,Control
GSM119640,68.76779606366162,-30.189593819378818,-19.78654352018254,-45.48972955829184,-8.099488221348166,-14.876606690770075,-7.329569406253379,2.329867958057668,2.1342756590499374,4.210189921770358,Control
GSM238799,54.90840670032093,67.05685815264836,6.152849651789234,69.34579565539804,-20.930805556254388,8.520932708876026,-17.538153773907936,19.40521713410534,5.423080564506118,2.353090913258459,AD
GSM238800,-45.47271866777234,24.77480043487769,8.82396473306279,-37.11888120565728,-53.905946017717504,-31.73480975827635,-42.671099318636436,-41.137970374782675,31.688010744020268,10.58602811338225,AD
GSM238801,29.06099402454574,97.51117306781416,36.20613562613354,-22.369701963527028,-33.09420494220867,12.234867369419867,-14.784156198231424,5.073619310463697,-6.912434526038238,-35.933438769583276,AD
GSM238802,-51.773966911265006,-0.7258163570221629,-34.37952968709996,38.94491158081227,1.1930754781165451,-29.809363822386597,-12.112474717966743,-5.692499901315204,15.258018808103383,62.091388212814564,AD
GSM238803,-134.89366529011255,16.10003827756461,-33.1519261743391,-41.23236226956004,27.345317916190496,-8.484632273480155,65.58914995939521,16.473665824660284,69.22376475278752,-40.79067334901533,AD
GSM238804,-61.266756629914184,40.456659442436624,-28.62634169170932,13.069212836009697,23.31919817991499,16.527609389136295,-9.317478093182812,-0.6444461832799051,-27.70576363237666,-11.817349431453282,AD
GSM238805,-113.91557244004251,18.013518918978725,-27.079007163188187,-2.229264571164901,37.56786608458882,9.309028420764122,4.874430602639554,-35.62229015269552,-14.912467867744455,31.525313862868376,AD
GSM238806,-113.66012367987508,11.63036775691524,-37.832324384804544,27.119891981914236,10.046121047689146,3.874750096226291,-16.162537064023702,17.433759069476864,-20.44342093134727,-2.567557746757271,AD
GSM238807,-80.71280763727657,16.088245604665047,-39.90285436468127,24.51366734673873,11.814894157520431,11.241811879192674,-9.616851198685458,14.466989624411555,-30.667878926702514,-3.9675969561707825,AD
GSM238808,-60.51315124757334,46.76553084335824,60.8283578148562,-40.47517250486444,-51.10433509364823,-17.764127653304257,-8.252619373940048,2.978085353556975,-20.3922695296737,-6.680334907556183,AD
