"GSM","group","metric","value","scan_date"
"GSM119628","Control","Hybridisation spike-ins",9.93800159102572,"10/28/04"
"GSM119629","Control","Hybridisation spike-ins",10.9441057824625,"10/28/04"
"GSM119630","Control","Hybridisation spike-ins",11.0242340499433,"10/28/04"
"GSM119631","Control","Hybridisation spike-ins",9.50730114889004,"10/28/04"
"GSM119632","Control","Hybridisation spike-ins",9.53055273981358,"10/28/04"
"GSM119633","Control","Hybridisation spike-ins",9.75648442776645,"10/28/04"
"GSM119634","Control","Hybridisation spike-ins",10.8651703209675,"11/01/04"
"GSM119635","Control","Hybridisation spike-ins",9.23943207176933,"10/28/04"
"GSM119636","Control","Hybridisation spike-ins",9.67036387811135,"10/28/04"
"GSM119637","Control","Hybridisation spike-ins",9.64460632204416,"10/28/04"
"GSM119638","Control","Hybridisation spike-ins",10.5113837337226,"10/28/04"
"GSM119639","Control","Hybridisation spike-ins",10.5848531416742,"10/28/04"
"GSM119640","Control","Hybridisation spike-ins",9.6186329046475,"10/28/04"
"GSM238799","AD","Hybridisation spike-ins",9.19251545126952,"06/02/06"
"GSM238800","AD","Hybridisation spike-ins",10.6771175012299,"07/27/05"
"GSM238801","AD","Hybridisation spike-ins",9.70580885236762,"07/27/05"
"GSM238802","AD","Hybridisation spike-ins",10.6075895565149,"07/10/06"
"GSM238803","AD","Hybridisation spike-ins",10.4155780626041,"07/10/06"
"GSM238804","AD","Hybridisation spike-ins",9.94053870859572,"07/10/06"
"GSM238805","AD","Hybridisation spike-ins",10.1879101246386,"07/10/06"
"GSM238806","AD","Hybridisation spike-ins",10.2538492353038,"07/10/06"
"GSM238807","AD","Hybridisation spike-ins",10.2613127396529,"07/10/06"
"GSM238808","AD","Hybridisation spike-ins",10.3910076357958,"07/27/05"
"GSM119628","Control","Poly-A spike-ins",2.69922318116017,"10/28/04"
"GSM119629","Control","Poly-A spike-ins",2.78909460781456,"10/28/04"
"GSM119630","Control","Poly-A spike-ins",2.79650075332655,"10/28/04"
"GSM119631","Control","Poly-A spike-ins",2.67876080349014,"10/28/04"
"GSM119632","Control","Poly-A spike-ins",2.63892113684562,"10/28/04"
"GSM119633","Control","Poly-A spike-ins",2.67187707908958,"10/28/04"
"GSM119634","Control","Poly-A spike-ins",2.9214741545716,"11/01/04"
"GSM119635","Control","Poly-A spike-ins",2.67983575339945,"10/28/04"
"GSM119636","Control","Poly-A spike-ins",2.60445986731918,"10/28/04"
"GSM119637","Control","Poly-A spike-ins",2.72370315633,"10/28/04"
"GSM119638","Control","Poly-A spike-ins",2.79508287907886,"10/28/04"
"GSM119639","Control","Poly-A spike-ins",2.70396989218117,"10/28/04"
"GSM119640","Control","Poly-A spike-ins",2.69318944471312,"10/28/04"
"GSM238799","AD","Poly-A spike-ins",6.29034798680156,"06/02/06"
"GSM238800","AD","Poly-A spike-ins",8.6793300204779,"07/27/05"
"GSM238801","AD","Poly-A spike-ins",7.18688312551962,"07/27/05"
"GSM238802","AD","Poly-A spike-ins",9.4717209974254,"07/10/06"
"GSM238803","AD","Poly-A spike-ins",9.14981294202707,"07/10/06"
"GSM238804","AD","Poly-A spike-ins",7.91523645223591,"07/10/06"
"GSM238805","AD","Poly-A spike-ins",7.91538694356792,"07/10/06"
"GSM238806","AD","Poly-A spike-ins",8.91857020761459,"07/10/06"
"GSM238807","AD","Poly-A spike-ins",8.89048488094931,"07/10/06"
"GSM238808","AD","Poly-A spike-ins",9.21771900600516,"07/27/05"
"GSM119628","Control","GAPDH 3-5 ratio (log2)",3.221901655256,"10/28/04"
"GSM119629","Control","GAPDH 3-5 ratio (log2)",5.03722163582611,"10/28/04"
"GSM119630","Control","GAPDH 3-5 ratio (log2)",4.05665876264949,"10/28/04"
"GSM119631","Control","GAPDH 3-5 ratio (log2)",3.65678067318043,"10/28/04"
"GSM119632","Control","GAPDH 3-5 ratio (log2)",3.04250073026615,"10/28/04"
"GSM119633","Control","GAPDH 3-5 ratio (log2)",5.06577911769106,"10/28/04"
"GSM119634","Control","GAPDH 3-5 ratio (log2)",4.70575023502406,"11/01/04"
"GSM119635","Control","GAPDH 3-5 ratio (log2)",2.87470727801852,"10/28/04"
"GSM119636","Control","GAPDH 3-5 ratio (log2)",3.23081711226754,"10/28/04"
"GSM119637","Control","GAPDH 3-5 ratio (log2)",3.21009327275157,"10/28/04"
"GSM119638","Control","GAPDH 3-5 ratio (log2)",3.67006674364454,"10/28/04"
"GSM119639","Control","GAPDH 3-5 ratio (log2)",3.97495619842563,"10/28/04"
"GSM119640","Control","GAPDH 3-5 ratio (log2)",3.14582253973378,"10/28/04"
"GSM238799","AD","GAPDH 3-5 ratio (log2)",4.2420121486458,"06/02/06"
"GSM238800","AD","GAPDH 3-5 ratio (log2)",5.28032098981444,"07/27/05"
"GSM238801","AD","GAPDH 3-5 ratio (log2)",3.96385541675172,"07/27/05"
