Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Interleukin-27 Signaling R-HSA-9020956,1/11,0.0016491427308511,0.0105493519352337,0,0,999.35,6403.334808352065,CRLF1
Reactome_2022,IL-6-type Cytokine Receptor Ligand Interactions R-HSA-6788467,1/17,0.0025479169262706,0.0105493519352337,0,0,624.40625,3729.2533063250894,CRLF1
Reactome_2022,ABC Transporters In Lipid Homeostasis R-HSA-1369062,1/18,0.0026976603266888,0.0105493519352337,0,0,587.6470588235294,3476.150033460634,ABCA6
Reactome_2022,Interleukin-6 Family Signaling R-HSA-6783589,1/24,0.0035958067387344,0.0105493519352337,0,0,434.2173913043478,2443.7697931466887,CRLF1
Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,2/702,0.0036047627266626,0.0105493519352337,0,0,55.13428571428572,310.15788724969894,TNFRSF11B;CRLF1
Reactome_2022,"FOXO-mediated Transcription Of Oxidative Stress, Metabolic And Neuronal Genes R-HSA-9615017",1/29,0.0043438507968609,0.0105493519352337,0,0,356.5892857142857,1939.4870011141588,ABCA6
Reactome_2022,TNFs Bind Their Physiological Receptors R-HSA-5669034,1/29,0.0043438507968609,0.0105493519352337,0,0,356.5892857142857,1939.4870011141588,TNFRSF11B
Reactome_2022,Interleukin-12 Family Signaling R-HSA-447115,1/54,0.0080784620472779,0.0171667318504657,0,0,188.1509433962264,906.615436737158,CRLF1
Reactome_2022,FOXO-mediated Transcription R-HSA-9614085,1/65,0.0097187302814845,0.0183576016428042,0,0,155.7265625,721.5902191436588,ABCA6
Reactome_2022,TNFR2 Non-Canonical NF-kB Pathway R-HSA-5668541,1/100,0.0149257388776811,0.0235260370148949,0,0,100.4949494949495,422.54790984855,TNFRSF11B
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,1/102,0.0152227298331673,0.0235260370148949,0,0,98.4950495049505,412.1983924062594,ABCA6
Reactome_2022,Immune System R-HSA-168256,2/1943,0.0264697534253367,0.0374988173525604,0,0,18.604842864502835,67.56818603711942,TNFRSF11B;CRLF1
Reactome_2022,Signaling By Interleukins R-HSA-449147,1/453,0.0664255356160883,0.0868641619595,0,0,21.620575221238937,58.62794572298,CRLF1
Reactome_2022,Transport Of Small Molecules R-HSA-382551,1/706,0.1022103363638052,0.1241125512989063,0,0,13.6822695035461,31.20545946637861,ABCA6
Reactome_2022,Generic Transcription Pathway R-HSA-212436,1/1190,0.1680974253078696,0.1905104153489189,0,0,7.909167367535744,14.103718641138792,ABCA6
Reactome_2022,RNA Polymerase II Transcription R-HSA-73857,1/1312,0.1841804370971457,0.1956917144157173,0,0,7.1266209000762775,12.057097781639904,ABCA6
Reactome_2022,Gene Expression (Transcription) R-HSA-74160,1/1449,0.201992247097601,0.201992247097601,0,0,6.405041436464089,10.245030071858828,ABCA6
