Gene,Cell_type,Condition,N_cells,Mean_expression,Median_expression,Expressing_cells,Detection_fraction
ABCA6,OPC,AD,179,0.00558659217877095,0.0,1,0.00558659217877095
ABCA6,OPC,ct,899,0.0055617352614015575,0.0,5,0.0055617352614015575
ABCA6,astro,AD,472,0.00847457627118644,0.0,4,0.00847457627118644
ABCA6,astro,ct,1699,0.004708652148322542,0.0,7,0.004120070629782225
ABCA6,doublet,AD,295,0.013559322033898305,0.0,4,0.013559322033898305
ABCA6,doublet,ct,110,0.00909090909090909,0.0,1,0.00909090909090909
ABCA6,endo,AD,37,0.05405405405405406,0.0,2,0.05405405405405406
ABCA6,endo,ct,61,0.0,0.0,0,0.0
ABCA6,mg,AD,172,0.011627906976744186,0.0,2,0.011627906976744186
ABCA6,mg,ct,277,0.0,0.0,0,0.0
ABCA6,neuron,AD,249,0.040160642570281124,0.0,9,0.03614457831325301
ABCA6,neuron,ct,407,0.05405405405405406,0.0,22,0.05405405405405406
ABCA6,oligo,AD,4655,0.11235230934479055,0.0,420,0.09022556390977443
ABCA6,oligo,ct,2777,0.018005041411595247,0.0,46,0.016564638098667626
ABCA6,unID,AD,614,0.009771986970684038,0.0,6,0.009771986970684038
ABCA6,unID,ct,311,0.012861736334405145,0.0,4,0.012861736334405145
CRLF1,OPC,AD,179,0.05027932960893855,0.0,8,0.0446927374301676
CRLF1,OPC,ct,899,0.05116796440489433,0.0,42,0.04671857619577308
CRLF1,astro,AD,472,0.0826271186440678,0.0,34,0.07203389830508475
CRLF1,astro,ct,1699,0.11183048852266039,0.0,173,0.10182460270747498
CRLF1,doublet,AD,295,0.030508474576271188,0.0,8,0.02711864406779661
CRLF1,doublet,ct,110,0.06363636363636363,0.0,6,0.05454545454545454
CRLF1,endo,AD,37,0.02702702702702703,0.0,1,0.02702702702702703
CRLF1,endo,ct,61,0.01639344262295082,0.0,1,0.01639344262295082
CRLF1,mg,AD,172,0.029069767441860465,0.0,5,0.029069767441860465
CRLF1,mg,ct,277,0.02888086642599278,0.0,8,0.02888086642599278
CRLF1,neuron,AD,249,0.0321285140562249,0.0,8,0.0321285140562249
CRLF1,neuron,ct,407,0.09828009828009827,0.0,37,0.09090909090909091
CRLF1,oligo,AD,4655,0.022986036519871106,0.0,104,0.02234156820622986
CRLF1,oligo,ct,2777,0.030608570399711918,0.0,85,0.030608570399711918
CRLF1,unID,AD,614,0.029315960912052116,0.0,17,0.02768729641693811
CRLF1,unID,ct,311,0.03536977491961415,0.0,11,0.03536977491961415
