Sample_group,Condition,Cell_type,N_cells,ABCA6_total_count,ABCA6_mean_expression,ABCA6_median_expression,ABCA6_expressing_cells,ABCA6_detection_fraction,CRLF1_total_count,CRLF1_mean_expression,CRLF1_median_expression,CRLF1_expressing_cells,CRLF1_detection_fraction
AD1_AD2,AD,OPC,32,0,0.0,0.0,0,0.0,2,0.0625,0.0,1,0.03125
AD3_AD4,AD,OPC,57,0,0.0,0.0,0,0.0,1,0.017543859649122806,0.0,1,0.017543859649122806
AD5_AD6,AD,OPC,90,1,0.011111111111111112,0.0,1,0.011111111111111112,6,0.06666666666666667,0.0,6,0.06666666666666667
Ct1_Ct2,ct,OPC,88,1,0.011363636363636364,0.0,1,0.011363636363636364,8,0.09090909090909091,0.0,8,0.09090909090909091
Ct3_Ct4,ct,OPC,427,4,0.00936768149882904,0.0,4,0.00936768149882904,14,0.03278688524590164,0.0,14,0.03278688524590164
Ct5_Ct6,ct,OPC,384,0,0.0,0.0,0,0.0,24,0.0625,0.0,20,0.052083333333333336
AD1_AD2,AD,astro,96,1,0.010416666666666666,0.0,1,0.010416666666666666,13,0.13541666666666666,0.0,10,0.10416666666666667
AD3_AD4,AD,astro,235,3,0.01276595744680851,0.0,3,0.01276595744680851,16,0.06808510638297872,0.0,15,0.06382978723404255
AD5_AD6,AD,astro,141,0,0.0,0.0,0,0.0,10,0.07092198581560284,0.0,9,0.06382978723404255
Ct1_Ct2,ct,astro,166,2,0.012048192771084338,0.0,2,0.012048192771084338,19,0.1144578313253012,0.0,18,0.10843373493975904
Ct3_Ct4,ct,astro,853,1,0.0011723329425556857,0.0,1,0.0011723329425556857,105,0.123094958968347,0.0,95,0.11137162954279015
Ct5_Ct6,ct,astro,680,5,0.007352941176470588,0.0,4,0.0058823529411764705,66,0.09705882352941177,0.0,60,0.08823529411764706
AD1_AD2,AD,doublet,279,3,0.010752688172043012,0.0,3,0.010752688172043012,9,0.03225806451612903,0.0,8,0.02867383512544803
AD3_AD4,AD,doublet,9,1,0.1111111111111111,0.0,1,0.1111111111111111,0,0.0,0.0,0,0.0
AD5_AD6,AD,doublet,7,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
Ct1_Ct2,ct,doublet,47,1,0.02127659574468085,0.0,1,0.02127659574468085,1,0.02127659574468085,0.0,1,0.02127659574468085
Ct3_Ct4,ct,doublet,24,0,0.0,0.0,0,0.0,3,0.125,0.0,2,0.08333333333333333
Ct5_Ct6,ct,doublet,39,0,0.0,0.0,0,0.0,3,0.07692307692307693,0.0,3,0.07692307692307693
AD1_AD2,AD,endo,5,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AD3_AD4,AD,endo,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AD5_AD6,AD,endo,30,2,0.06666666666666667,0.0,2,0.06666666666666667,1,0.03333333333333333,0.0,1,0.03333333333333333
Ct1_Ct2,ct,endo,11,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
Ct3_Ct4,ct,endo,32,0,0.0,0.0,0,0.0,1,0.03125,0.0,1,0.03125
Ct5_Ct6,ct,endo,18,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AD1_AD2,AD,mg,21,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AD3_AD4,AD,mg,87,1,0.011494252873563218,0.0,1,0.011494252873563218,5,0.05747126436781609,0.0,5,0.05747126436781609
AD5_AD6,AD,mg,64,1,0.015625,0.0,1,0.015625,0,0.0,0.0,0,0.0
Ct1_Ct2,ct,mg,54,0,0.0,0.0,0,0.0,3,0.05555555555555555,0.0,3,0.05555555555555555
Ct3_Ct4,ct,mg,142,0,0.0,0.0,0,0.0,4,0.028169014084507043,0.0,4,0.028169014084507043
Ct5_Ct6,ct,mg,81,0,0.0,0.0,0,0.0,1,0.012345679012345678,0.0,1,0.012345679012345678
AD1_AD2,AD,neuron,99,1,0.010101010101010102,0.0,1,0.010101010101010102,3,0.030303030303030304,0.0,3,0.030303030303030304
AD3_AD4,AD,neuron,114,9,0.07894736842105263,0.0,8,0.07017543859649122,3,0.02631578947368421,0.0,3,0.02631578947368421
AD5_AD6,AD,neuron,36,0,0.0,0.0,0,0.0,2,0.05555555555555555,0.0,2,0.05555555555555555
Ct1_Ct2,ct,neuron,68,3,0.04411764705882353,0.0,3,0.04411764705882353,9,0.1323529411764706,0.0,8,0.11764705882352941
Ct3_Ct4,ct,neuron,124,9,0.07258064516129033,0.0,9,0.07258064516129033,7,0.056451612903225805,0.0,7,0.056451612903225805
