Gene,Cell_type,N_AD_samples,N_Control_samples,AD_mean,Control_mean,Fold_change_AD_vs_Control,log2_FC_AD_vs_Control,Cohens_d,Exact_permutation_p,Mann_Whitney_exact_p,FDR_BH,Absolute_log2_FC
ABCA6,endo,3,3,0.0222222222222222,0.0,22223.2222222222,14.439780392810652,0.816496580927726,1.0,0.7,1.0,14.439780392810652
ABCA6,mg,3,3,0.0090397509578544,0.0,9040.7509578544,13.142226897808689,1.5789676064105698,0.4,0.4,0.9142857142857144,13.142226897808689
CRLF1,doublet,3,3,0.010752688172043,0.07439989088925257,0.14453708878365595,-2.7904883534519995,-1.6321748964223275,0.2,0.2,0.8,2.7904883534519995
ABCA6,oligo,3,3,0.12809226681778232,0.021146574596799198,6.057113842131567,2.5986305267835133,1.592626206678636,0.2,0.2,0.8,2.5986305267835133
ABCA6,doublet,3,3,0.04062126642771804,0.007092198581560266,5.726932068886544,2.5177624907579697,0.7586600244712127,0.7,0.7,0.9333333333333332,2.5177624907579697
CRLF1,neuron,3,3,0.037391458444089996,0.10014415368548017,0.3733826058275993,-1.4212733742615762,-2.097248182118759,0.1,0.1,0.8,1.4212733742615762
ABCA6,unID,3,3,0.010030864197530834,0.004778972520908,2.098728424410521,1.0695154938789497,0.5575312944878642,0.7,0.7,0.9333333333333332,1.0695154938789497
ABCA6,OPC,3,3,0.0037037037037037,0.006910439287488433,0.5360249218147964,-0.8996280163260086,-0.5136076789974066,0.7,0.7,0.9333333333333332,0.8996280163260086
ABCA6,neuron,3,3,0.029682792840687564,0.05440330670903017,0.5456147617034254,-0.874045417628957,-0.7638012825947625,0.4,0.7,0.9142857142857144,0.874045417628957
CRLF1,mg,3,3,0.019157088122605335,0.03202341621746937,0.5982337973784693,-0.7412186766852769,-0.457923168765319,0.6,0.7,0.9333333333333332,0.7412186766852769
CRLF1,oligo,3,3,0.021324912675714635,0.032519252605471366,0.6557732787145282,-0.6087309785352422,-1.5567861715887956,0.2,0.2,0.8,0.6087309785352422
CRLF1,OPC,3,3,0.0489035087719298,0.062065325384997504,0.7879394900306256,-0.3438432530035113,-0.46730137256463883,0.6,1.0,0.9333333333333332,0.3438432530035113
CRLF1,astro,3,3,0.09147458628841602,0.11153720460768664,0.8201278352127249,-0.2860792914332822,-0.7036138869608111,0.4,0.7,0.9142857142857144,0.2860792914332822
ABCA6,astro,3,3,0.007727541371158366,0.006857822296703467,1.1268029753260862,0.17223527827038937,0.14116054042614648,0.9,1.0,1.0,0.17223527827038937
CRLF1,endo,3,3,0.0111111111111111,0.010416666666666666,1.0666602672810066,0.09310074902618361,0.03722903955249643,1.0,1.0,1.0,0.09310074902618361
CRLF1,unID,3,3,0.06037511870845197,0.059237536656891465,1.019203412436559,0.027442013061108602,0.026677690666384795,1.0,1.0,1.0,0.027442013061108602
