Gene,Cell_type,N_AD_samples,N_Control_samples,AD_mean,Control_mean,Fold_change_AD_vs_Control,log2_FC_AD_vs_Control,Cohens_d,Exact_permutation_p,Mann_Whitney_exact_p,FDR_BH,Absolute_log2_FC,Fold_change_interpretable,log2_FC_interpretable,Effect_size_interpretation,Statistical_status,Absolute_effect_size
CRLF1,neuron,3,3,0.0373914584440899,0.1001441536854801,0.3733826058275993,-1.4212733742615762,-2.097248182118759,0.1,0.1,0.8,1.4212733742615762,0.373376348673575,-1.4212975511797816,Large,Not significant,2.097248182118759
CRLF1,doublet,3,3,0.010752688172043,0.0743998908892525,0.1445370887836559,-2.7904883534519995,-1.6321748964223275,0.2,0.2,0.8,2.7904883534519995,0.14452559060938472,-2.7906031268917526,Large,Not significant,1.6321748964223275
ABCA6,oligo,3,3,0.1280922668177823,0.0211465745967991,6.057113842131567,2.5986305267835133,1.592626206678636,0.2,0.2,0.8,2.5986305267835133,6.057352987900521,2.59868748585894,Large,Not significant,1.592626206678636
ABCA6,mg,3,3,0.0090397509578544,0.0,9040.7509578544,13.142226897808689,1.5789676064105698,0.4,0.4,0.9142857142857144,13.142226897808689,,,Large,Not significant,1.5789676064105698
CRLF1,oligo,3,3,0.0213249126757146,0.0325192526054713,0.6557732787145282,-0.6087309785352422,-1.5567861715887956,0.2,0.2,0.8,0.6087309785352422,0.6557626933937198,-0.6087542663293424,Large,Not significant,1.5567861715887956
ABCA6,endo,3,3,0.0222222222222222,0.0,22223.2222222222,14.439780392810652,0.816496580927726,1.0,0.7,1.0,14.439780392810652,,,Large,Not significant,0.816496580927726
ABCA6,neuron,3,3,0.0296827928406875,0.0544033067090301,0.5456147617034254,-0.874045417628957,-0.7638012825947625,0.4,0.7,0.9142857142857144,0.874045417628957,0.5456064095412902,-0.874067502286423,Moderate,Not significant,0.7638012825947625
ABCA6,doublet,3,3,0.040621266427718,0.0070921985815602,5.726932068886544,2.5177624907579697,0.7586600244712127,0.7,0.7,0.9333333333333332,2.5177624907579697,5.7275985663083055,2.5179303810988047,Moderate,Not significant,0.7586600244712127
CRLF1,astro,3,3,0.091474586288416,0.1115372046076866,0.8201278352127249,-0.2860792914332822,-0.7036138869608111,0.4,0.7,0.9142857142857144,0.2860792914332822,0.8201262225475572,-0.28608212829142515,Moderate,Not significant,0.7036138869608111
ABCA6,unID,3,3,0.0100308641975308,0.004778972520908,2.098728424410521,1.0695154938789495,0.5575312944878642,0.7,0.7,0.9333333333333332,1.0695154938789495,2.098958333333322,1.0696735278068032,Moderate,Not significant,0.5575312944878642
ABCA6,OPC,3,3,0.0037037037037037,0.0069104392874884,0.5360249218147964,-0.8996280163260086,-0.5136076789974066,0.7,0.7,0.9333333333333332,0.8996280163260086,0.5359577806304425,-0.8998087361335437,Moderate,Not significant,0.5136076789974066
CRLF1,OPC,3,3,0.0489035087719298,0.0620653253849975,0.7879394900306256,-0.3438432530035113,-0.4673013725646388,0.6,1.0,0.9333333333333332,0.3438432530035113,0.7879360732998077,-0.34384950895508726,Small,Not significant,0.4673013725646388
CRLF1,mg,3,3,0.0191570881226053,0.0320234162174693,0.5982337973784693,-0.7412186766852769,-0.457923168765319,0.6,0.7,0.9333333333333332,0.7412186766852769,0.5982212513652679,-0.7412489328508522,Small,Not significant,0.457923168765319
ABCA6,astro,3,3,0.0077275413711583,0.0068578222967034,1.1268029753260862,0.1722352782703893,0.1411605404261464,0.9,1.0,1.0,0.1722352782703893,1.1268214655945488,0.17225895197407476,Negligible,Not significant,0.1411605404261464
CRLF1,endo,3,3,0.0111111111111111,0.0104166666666666,1.0666602672810066,0.0931007490261836,0.0372290395524964,1.0,1.0,1.0,0.0931007490261836,1.0666666666666724,0.09310940439148926,Negligible,Not significant,0.0372290395524964
CRLF1,unID,3,3,0.0603751187084519,0.0592375366568914,1.019203412436559,0.0274420130611086,0.0266776906663847,1.0,1.0,1.0,0.0274420130611086,1.0192037366129767,0.02744247193676592,Negligible,Not significant,0.0266776906663847
