sample_group,condition,cell_type,N_cells,Total_cells,Cell_fraction,Cell_percentage
AD1_AD2,AD,OPC,32,3028,0.010568031704095112,1.0568031704095113
AD3_AD4,AD,OPC,57,2605,0.021880998080614205,2.1880998080614207
AD5_AD6,AD,OPC,90,1040,0.08653846153846154,8.653846153846153
Ct1_Ct2,ct,OPC,88,1122,0.0784313725490196,7.8431372549019605
Ct3_Ct4,ct,OPC,427,3043,0.1403220506079527,14.032205060795269
Ct5_Ct6,ct,OPC,384,2376,0.16161616161616163,16.161616161616163
AD1_AD2,AD,astro,96,3028,0.031704095112285335,3.1704095112285335
AD3_AD4,AD,astro,235,2605,0.09021113243761997,9.021113243761997
AD5_AD6,AD,astro,141,1040,0.13557692307692307,13.557692307692307
Ct1_Ct2,ct,astro,166,1122,0.14795008912655971,14.795008912655971
Ct3_Ct4,ct,astro,853,3043,0.2803154781465659,28.031547814656587
Ct5_Ct6,ct,astro,680,2376,0.28619528619528617,28.619528619528616
AD1_AD2,AD,doublet,279,3028,0.09214002642007926,9.214002642007927
AD3_AD4,AD,doublet,9,2605,0.00345489443378119,0.345489443378119
AD5_AD6,AD,doublet,7,1040,0.006730769230769231,0.6730769230769231
Ct1_Ct2,ct,doublet,47,1122,0.04188948306595366,4.188948306595366
Ct3_Ct4,ct,doublet,24,3043,0.007886953664147224,0.7886953664147224
Ct5_Ct6,ct,doublet,39,2376,0.016414141414141416,1.6414141414141417
AD1_AD2,AD,endo,5,3028,0.0016512549537648614,0.16512549537648613
AD3_AD4,AD,endo,2,2605,0.0007677543186180423,0.07677543186180423
AD5_AD6,AD,endo,30,1040,0.028846153846153848,2.8846153846153846
Ct1_Ct2,ct,endo,11,1122,0.00980392156862745,0.9803921568627451
Ct3_Ct4,ct,endo,32,3043,0.010515938218862965,1.0515938218862966
Ct5_Ct6,ct,endo,18,2376,0.007575757575757576,0.7575757575757576
AD1_AD2,AD,mg,21,3028,0.006935270805812417,0.6935270805812417
AD3_AD4,AD,mg,87,2605,0.033397312859884835,3.3397312859884836
AD5_AD6,AD,mg,64,1040,0.06153846153846154,6.153846153846154
Ct1_Ct2,ct,mg,54,1122,0.0481283422459893,4.81283422459893
Ct3_Ct4,ct,mg,142,3043,0.0466644758462044,4.66644758462044
Ct5_Ct6,ct,mg,81,2376,0.03409090909090909,3.4090909090909087
AD1_AD2,AD,neuron,99,3028,0.03269484808454425,3.269484808454425
AD3_AD4,AD,neuron,114,2605,0.04376199616122841,4.376199616122841
AD5_AD6,AD,neuron,36,1040,0.03461538461538462,3.4615384615384617
Ct1_Ct2,ct,neuron,68,1122,0.06060606060606061,6.0606060606060606
Ct3_Ct4,ct,neuron,124,3043,0.040749260598093986,4.074926059809399
Ct5_Ct6,ct,neuron,215,2376,0.09048821548821549,9.048821548821548
AD1_AD2,AD,oligo,1956,3028,0.6459709379128138,64.59709379128138
AD3_AD4,AD,oligo,2075,2605,0.7965451055662188,79.65451055662189
AD5_AD6,AD,oligo,624,1040,0.6,60.0
Ct1_Ct2,ct,oligo,409,1122,0.36452762923351156,36.45276292335116
Ct3_Ct4,ct,oligo,1431,3043,0.4702596122247782,47.02596122247782
Ct5_Ct6,ct,oligo,937,2376,0.39436026936026936,39.436026936026934
AD1_AD2,AD,unID,540,3028,0.178335535006605,17.8335535006605
AD3_AD4,AD,unID,26,2605,0.009980806142034549,0.998080614203455
AD5_AD6,AD,unID,48,1040,0.046153846153846156,4.615384615384616
Ct1_Ct2,ct,unID,279,1122,0.24866310160427807,24.86631016042781
Ct3_Ct4,ct,unID,10,3043,0.003286230693394676,0.3286230693394676
Ct5_Ct6,ct,unID,22,2376,0.009259259259259259,0.9259259259259258
