category,term,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes,preferredNames,p_value,fdr,description,Seed_Gene,Neighborhood_Size,Mechanistic_Module
PMID,PMID:17541169,3,9,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.73e-10,0.00018,(2007) Correlation of induction of ATP binding cassette transporter A5 (ABCA5) and ABCB1 mRNAs with differentiation state of human colon tumor.,ABCA6,3,Cytokine_neurotrophic_signaling
PMID,PMID:30407748,3,32,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",5.14e-09,0.0014,(2019) Gestational age-dependent gene expression profiling of ATP-binding cassette transporters in the healthy human placenta.,ABCA6,3,Cytokine_neurotrophic_signaling
NetworkNeighborAL,CL:12311,3,12,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",3.57e-10,1.63e-06,"ABC-type xenobiotic transporter activity, and ABC transporters in lipid homeostasis",ABCA6,3,Lipid_transport_homeostasis
InterPro,IPR026082,3,12,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",3.57e-10,2.56e-06,ABC transporter A,ABCA6,3,Lipid_transport_homeostasis
KEGG,hsa02010,3,45,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.36e-08,4.56e-06,ABC transporters,ABCA6,3,Lipid_transport_homeostasis
InterPro,IPR003439,3,49,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.73e-08,6.23e-05,"ABC transporter-like, ATP-binding domain",ABCA6,3,Lipid_transport_homeostasis
PMID,PMID:12150964,3,3,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.57e-11,8.07e-05,"(2002) Molecular structure of a novel cholesterol-responsive A subclass ABC transporter, ABCA9.",ABCA6,3,Lipid_transport_homeostasis
Function,GO:0140359,3,50,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.84e-08,9.07e-05,ABC-type transporter activity,ABCA6,3,Lipid_transport_homeostasis
PMID,PMID:12821155,3,5,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",4.39e-11,0.00011,"(2003) ABCA10, a novel cholesterol-regulated ABCA6-like ABC transporter.",ABCA6,3,Lipid_transport_homeostasis
PMID,PMID:30611276,3,17,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",8.95e-10,0.00042,(2019) Abcc6 deficiency in mice leads to altered ABC transporter gene expression in metabolic active tissues.,ABCA6,3,Lipid_transport_homeostasis
PMID,PMID:19230850,3,22,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.8e-09,0.00071,(2009) The role of the photoreceptor ABC transporter ABCA4 in lipid transport and Stargardt macular degeneration.,ABCA6,3,Lipid_transport_homeostasis
Function,GO:0005319,3,163,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",5.87e-07,0.00097,Lipid transporter activity,ABCA6,3,Lipid_transport_homeostasis
PMID,PMID:22403555,3,33,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",5.6e-09,0.0014,(2012) A-Subclass ATP-Binding Cassette Proteins in Brain Lipid Homeostasis and Neurodegeneration.,ABCA6,3,Lipid_transport_homeostasis
