category,term,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes,preferredNames,p_value,fdr,description,Seed_Gene,Neighborhood_Size
Function,GO:0140359,3,50,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.84e-08,9.07e-05,ABC-type transporter activity,ABCA6,3
Function,GO:0005319,3,163,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",5.87e-07,0.00097,Lipid transporter activity,ABCA6,3
KEGG,hsa02010,3,45,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.36e-08,4.56e-06,ABC transporters,ABCA6,3
SMART,SM00382,3,144,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",4.07e-07,0.00033,ATPases associated with a variety of cellular activities,ABCA6,3
InterPro,IPR026082,3,12,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",3.57e-10,2.56e-06,ABC transporter A,ABCA6,3
InterPro,IPR003439,3,49,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.73e-08,6.23e-05,"ABC transporter-like, ATP-binding domain",ABCA6,3
InterPro,IPR003593,3,139,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",3.67e-07,0.00088,AAA+ ATPase domain,ABCA6,3
Pfam,PF12698,3,12,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",3.57e-10,8.25e-07,ABC-2 family transporter protein,ABCA6,3
PMID,PMID:12150964,3,3,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.57e-11,8.07e-05,"(2002) Molecular structure of a novel cholesterol-responsive A subclass ABC transporter, ABCA9.",ABCA6,3
PMID,PMID:35759117,3,6,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",6.59e-11,0.00011,(2022) Comprehensive Analysis of ABCA Family Members in Lung Adenocarcinoma with Prognostic Values.,ABCA6,3
PMID,PMID:24957074,3,5,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",4.39e-11,0.00011,(2014) ABCA transporter gene expression and poor outcome in epithelial ovarian cancer.,ABCA6,3
PMID,PMID:12821155,3,5,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",4.39e-11,0.00011,"(2003) ABCA10, a novel cholesterol-regulated ABCA6-like ABC transporter.",ABCA6,3
PMID,PMID:17541169,3,9,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.73e-10,0.00018,(2007) Correlation of induction of ATP binding cassette transporter A5 (ABCA5) and ABCB1 mRNAs with differentiation state of human colon tumor.,ABCA6,3
PMID,PMID:21435020,3,11,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",2.86e-10,0.00024,(2011) Expression of the Abca-subfamily of genes in Abcc6-- mice--upregulation of Abca4.,ABCA6,3
PMID,PMID:33238634,3,13,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",4.39e-10,0.00032,(2020) 5 Untranslated Region Elements Show High Abundance and Great Variability in Homologous ABCA Subfamily Genes.,ABCA6,3
PMID,PMID:28677036,3,13,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",4.39e-10,0.00032,(2017) DeltaNp73 regulates the expression of the multidrug-resistance genes ABCB1 and ABCB5 in breast cancer and melanoma cells - a short report.,ABCA6,3
PMID,PMID:30925591,3,15,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",6.4e-10,0.00037,(2019) A harlequin ichthyosis pig model with a novel ABCA12 mutation can be rescued by acitretin treatment.,ABCA6,3
PMID,PMID:34638622,3,16,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",7.6e-10,0.00039,(2021) Structure-Based Understanding of ABCA3 Variants.,ABCA6,3
PMID,PMID:30611276,3,17,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",8.95e-10,0.00042,(2019) Abcc6 deficiency in mice leads to altered ABC transporter gene expression in metabolic active tissues.,ABCA6,3
PMID,PMID:35783152,3,19,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.21e-09,0.00052,(2022) Identification of ABCA5 among ATP-Binding Cassette Transporter Family as a New Biomarker for Colorectal Cancer.,ABCA6,3
PMID,PMID:19230850,3,22,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.8e-09,0.00071,(2009) The role of the photoreceptor ABC transporter ABCA4 in lipid transport and Stargardt macular degeneration.,ABCA6,3
PMID,PMID:26319982,3,23,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",2.04e-09,0.00075,(2015) Identification of Aberrant Chromosomal Regions in Human Breast Cancer Using Gene Expression Data and Related Gene Information.,ABCA6,3
PMID,PMID:26472499,3,23,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",2.04e-09,0.00075,(2015) Marine medaka ATP-binding cassette (ABC) superfamily and new insight into teleost Abch nomenclature.,ABCA6,3
PMID,PMID:33719339,3,27,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",3.19e-09,0.001,(2021) Feature Selection for Breast Cancer Classification by Integrating Somatic Mutation and Gene Expression.,ABCA6,3
PMID,PMID:31416138,3,29,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",3.89e-09,0.0012,"(2019) Antioxidant, Anti-Inflammatory, and Multidrug Resistance Modulation Activity of Silychristin Derivatives.",ABCA6,3
PMID,PMID:37012431,3,31,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",4.7e-09,0.0013,(2023) Rewiring of the 3D genome during acquisition of carboplatin resistance in a triple-negative breast cancer patient-derived xenograft.,ABCA6,3
PMID,PMID:37851804,3,32,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",5.14e-09,0.0014,(2023) BCRP drives intrinsic chemoresistance in chemotherapy-naive breast cancer brain metastasis.,ABCA6,3
PMID,PMID:34777633,3,34,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",6.1e-09,0.0014,(2021) The Upregulation of PLXDC2 Correlates with Immune Microenvironment Characteristics and Predicts Prognosis in Gastric Cancer.,ABCA6,3
PMID,PMID:30407748,3,32,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",5.14e-09,0.0014,(2019) Gestational age-dependent gene expression profiling of ATP-binding cassette transporters in the healthy human placenta.,ABCA6,3
PMID,PMID:27709738,3,32,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",5.14e-09,0.0014,(2016) Wnt-beta-catenin signaling regulates ABCC3 (MRP3) transporter expression in colorectal cancer.,ABCA6,3
PMID,PMID:24831815,3,32,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",5.14e-09,0.0014,(2014) Mutations in the cholesterol transporter gene ABCA5 are associated with excessive hair overgrowth.,ABCA6,3
PMID,PMID:22403555,3,33,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",5.6e-09,0.0014,(2012) A-Subclass ATP-Binding Cassette Proteins in Brain Lipid Homeostasis and Neurodegeneration.,ABCA6,3
PMID,PMID:34737618,3,37,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",7.75e-09,0.0016,(2021) Identification of ABCC5 Among ATP-Binding Cassette Transporter Family as a New Biomarker for Hepatocellular Carcinoma Based on Bioinformatics Analysis.,ABCA6,3
PMID,PMID:29401721,3,38,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",8.36e-09,0.0017,(2018) Cell Migration Related to MDR-Another Impediment to Effective Chemotherapy?,ABCA6,3
PMID,PMID:36576228,3,43,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.19e-08,0.0023,"(2023) ABCA9, an ER cholesterol transporter, inhibits breast cancer cell proliferation via SREBP-2 signaling.",ABCA6,3
PMID,PMID:35966264,3,43,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.19e-08,0.0023,"(2022) Genome-Wide Identification, Characterisation and Phylogenetic Analysis of 52 Striped Catfish (Pangasianodon hypophthalmus) ATP-Binding Cassette (ABC) Transporter Genes.",ABCA6,3
PMID,PMID:38020048,3,45,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.36e-08,0.0024,(2023) ABCB1 Regulates Immune Genes in Breast Cancer.,ABCA6,3
