category,term,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes,preferredNames,p_value,fdr,description,Seed_Gene,Neighborhood_Size
COMPARTMENTS,GOCC:0097058,2,2,9606,"CLCF1,CRLF1","CLCF1,CRLF1",6.49e-07,0.0015,CRLF-CLCF1 complex,CRLF1,7
COMPARTMENTS,GOCC:0097059,2,2,9606,"CLCF1,CNTFR","CLCF1,CNTFR",6.49e-07,0.0015,CNTFR-CLCF1 complex,CRLF1,7
COMPARTMENTS,GOCC:0005576,6,2079,9606,"IL12A,CLCF1,IL27,CNTF,CNTFR,CRLF1","IL12A,CLCF1,IL27,CNTF,CNTFR,CRLF1",8.88e-06,0.0058,Extracellular region,CRLF1,7
COMPARTMENTS,GOCC:0005615,5,1027,9606,"IL12A,CLCF1,IL27,CNTFR,CRLF1","IL12A,CLCF1,IL27,CNTFR,CRLF1",7.5e-06,0.0058,Extracellular space,CRLF1,7
Process,GO:0042531,4,65,9606,"IL12A,CLCF1,CNTF,CRLF1","IL12A,CLCF1,CNTF,CRLF1",4.78e-09,7.49e-05,Positive regulation of tyrosine phosphorylation of STAT protein,CRLF1,7
Process,GO:0043524,4,153,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",1.33e-07,0.0007,Negative regulation of neuron apoptotic process,CRLF1,7
Process,GO:0042127,6,1669,9606,"IL12A,CLCF1,IL27,CNTF,CNTFR,CRLF1","IL12A,CLCF1,IL27,CNTF,CNTFR,CRLF1",2.43e-06,0.0048,Regulation of cell population proliferation,CRLF1,7
Process,GO:0019221,4,369,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",4.23e-06,0.0066,Cytokine-mediated signaling pathway,CRLF1,7
Process,GO:0008284,5,945,9606,"IL12A,CLCF1,CNTF,CNTFR,CRLF1","IL12A,CLCF1,CNTF,CNTFR,CRLF1",4.99e-06,0.0071,Positive regulation of cell population proliferation,CRLF1,7
Process,GO:0070120,2,9,9606,"CNTF,CNTFR","CNTF,CNTFR",5.94e-06,0.0078,Ciliary neurotrophic factor-mediated signaling pathway,CRLF1,7
Process,GO:2000672,2,11,9606,"CNTFR,CRLF1","CNTFR,CRLF1",8.42e-06,0.0102,Negative regulation of motor neuron apoptotic process,CRLF1,7
Process,GO:0002822,3,179,9606,"IL12A,CLCF1,IL27","IL12A,CLCF1,IL27",2.64e-05,0.0276,Regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,CRLF1,7
Process,GO:0042981,5,1462,9606,"IL12A,CLCF1,CNTF,CNTFR,CRLF1","IL12A,CLCF1,CNTF,CNTFR,CRLF1",4.2e-05,0.0387,Regulation of apoptotic process,CRLF1,7
Component,GO:0097058,2,2,9606,"CLCF1,CRLF1","CLCF1,CRLF1",6.49e-07,0.0013,CRLF-CLCF1 complex,CRLF1,7
