category,term,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes,preferredNames,p_value,fdr,description,Seed_Gene,Neighborhood_Size
DISEASES,DOID:0111542,2,2,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",9.27e-08,0.00043,Familial expansile osteolysis,TNFRSF11B,3
DISEASES,DOID:5408,2,7,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",5.56e-07,0.0013,Pagets disease of bone,TNFRSF11B,3
KEGG,hsa04060,3,282,9606,"IL17RC,TNFRSF11B,TNFRSF11A","IL17RC,TNFRSF11B,TNFRSF11A",3e-06,0.001,Cytokine-cytokine receptor interaction,TNFRSF11B,3
KEGG,hsa04380,2,120,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",0.00011,0.0191,Osteoclast differentiation,TNFRSF11B,3
SMART,SM00208,2,24,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",5.02e-06,0.0041,Tumor necrosis factor receptor / nerve growth factor receptor repeats.,TNFRSF11B,3
InterPro,IPR022323,2,2,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",9.27e-08,0.00067,Tumour necrosis factor receptor 11,TNFRSF11B,3
InterPro,IPR001368,2,25,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",5.42e-06,0.0195,TNFR/NGFR cysteine-rich region,TNFRSF11B,3
PMID,PMID:22380539,3,27,9606,"IL17RC,TNFRSF11B,TNFRSF11A","IL17RC,TNFRSF11B,TNFRSF11A",3.19e-09,0.0164,(2012) The relationship between osteoclastogenic and anti-osteoclastogenic pro-inflammatory cytokines differs in human osteoporotic and osteoarthritic bone tissues.,TNFRSF11B,3
WikiPathways,WP12,2,16,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",2.36e-06,0.0018,Osteoclast signaling,TNFRSF11B,3
WikiPathways,WP4786,2,33,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",9.19e-06,0.0036,Type I collagen synthesis in the context of osteogenesis imperfecta,TNFRSF11B,3
WikiPathways,WP2018,2,55,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",2.46e-05,0.0064,RANKL/RANK signaling pathway,TNFRSF11B,3
WikiPathways,WP5205,2,80,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",5.12e-05,0.01,Clock-controlled autophagy in bone metabolism,TNFRSF11B,3
HPO,HP:0003080,2,8,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",6.95e-07,0.0085,Hydroxyprolinuria,TNFRSF11B,3
HPO,HP:0100670,2,21,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",3.91e-06,0.0198,Coarse metaphyseal trabecularization,TNFRSF11B,3
HPO,HP:0004437,2,44,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",1.6e-05,0.0325,Cranial hyperostosis,TNFRSF11B,3
HPO,HP:0006480,2,47,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",1.81e-05,0.0325,Premature loss of teeth,TNFRSF11B,3
HPO,HP:0003110,3,638,9606,"IL17RC,TNFRSF11B,TNFRSF11A","IL17RC,TNFRSF11B,TNFRSF11A",3.43e-05,0.0465,Abnormality of urine homeostasis,TNFRSF11B,3
HPO,HP:0003155,2,67,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",3.62e-05,0.0465,Elevated circulating alkaline phosphatase concentration,TNFRSF11B,3
NetworkNeighborAL,CL:20013,2,11,9606,"TNFRSF11B,TNFRSF11A","TNFRSF11B,TNFRSF11A",1.21e-06,0.0055,"Osteopetrosis, and DC-STAMP-like protein",TNFRSF11B,3
