stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000309338,9606.ENSP00000376188,CLCF1,CRLF1,9606,0.999,0,0,0.0,0.058,0.609,0.9,0.997
9606.ENSP00000349365,9606.ENSP00000376188,IL27,CRLF1,9606,0.982,0,0,0.0,0.086,0.292,0.9,0.766
9606.ENSP00000368265,9606.ENSP00000376188,CNTFR,CRLF1,9606,0.87,0,0,0.0,0.0,0.405,0.5,0.601
9606.ENSP00000355370,9606.ENSP00000376188,CNTF,CRLF1,9606,0.856,0,0,0.0,0.0,0.0,0.5,0.725
9606.ENSP00000351422,9606.ENSP00000376188,REX1BD,CRLF1,9606,0.829,0,0,0.0,0.0,0.0,0.0,0.829
9606.ENSP00000284425,9606.ENSP00000342216,ABCA6,ABCA9,9606,0.79,0,0,0.06,0.771,0.068,0.0,0.078
9606.ENSP00000297350,9606.ENSP00000465500,TNFRSF11B,TNFRSF11A,9606,0.762,0,0,0.0,0.058,0.405,0.0,0.609
9606.ENSP00000284425,9606.ENSP00000467271,ABCA6,ABCA8,9606,0.683,0,0,0.061,0.345,0.255,0.0,0.389
9606.ENSP00000295981,9606.ENSP00000297350,IL17RC,TNFRSF11B,9606,0.623,0,0,0.0,0.0,0.0,0.0,0.623
9606.ENSP00000303231,9606.ENSP00000376188,IL12A,CRLF1,9606,0.461,0,0,0.0,0.0,0.0,0.0,0.461
