category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
COMPARTMENTS	GOCC:0097058	2	2	9606	CLCF1,CRLF1	CLCF1,CRLF1	2.41e-06	0.0055	CRLF-CLCF1 complex
COMPARTMENTS	GOCC:0097059	2	2	9606	CLCF1,CNTFR	CLCF1,CNTFR	2.41e-06	0.0055	CNTFR-CLCF1 complex
Process	GO:0019221	6	369	9606	IL17RC,CLCF1,CNTF,CNTFR,CRLF1,TNFRSF11A	IL17RC,CLCF1,CNTF,CNTFR,CRLF1,TNFRSF11A	6.98e-08	0.0011	Cytokine-mediated signaling pathway
Process	GO:0042531	4	65	9606	IL12A,CLCF1,CNTF,CRLF1	IL12A,CLCF1,CNTF,CRLF1	9.6e-08	0.0011	Positive regulation of tyrosine phosphorylation of STAT protein
Process	GO:0043524	4	153	9606	CLCF1,CNTF,CNTFR,CRLF1	CLCF1,CNTF,CNTFR,CRLF1	2.62e-06	0.0103	Negative regulation of neuron apoptotic process
Process	GO:0008284	6	945	9606	IL12A,CLCF1,CNTF,CNTFR,CRLF1,TNFRSF11A	IL12A,CLCF1,CNTF,CNTFR,CRLF1,TNFRSF11A	1.59e-05	0.0249	Positive regulation of cell population proliferation
Process	GO:0070120	2	9	9606	CNTF,CNTFR	CNTF,CNTFR	2.2e-05	0.0288	Ciliary neurotrophic factor-mediated signaling pathway
Process	GO:2000672	2	11	9606	CNTFR,CRLF1	CNTFR,CRLF1	3.12e-05	0.0376	Negative regulation of motor neuron apoptotic process
Process	GO:0042127	7	1669	9606	IL12A,CLCF1,IL27,CNTF,CNTFR,CRLF1,TNFRSF11A	IL12A,CLCF1,IL27,CNTF,CNTFR,CRLF1,TNFRSF11A	3.44e-05	0.0385	Regulation of cell population proliferation
Component	GO:0097058	2	2	9606	CLCF1,CRLF1	CLCF1,CRLF1	2.41e-06	0.0049	CRLF-CLCF1 complex
Component	GO:0097059	2	2	9606	CLCF1,CNTFR	CLCF1,CNTFR	2.41e-06	0.0049	CNTFR-CLCF1 complex
Function	GO:0005125	5	234	9606	TNFRSF11B,IL12A,CLCF1,IL27,CNTF	TNFRSF11B,IL12A,CLCF1,IL27,CNTF	2.99e-07	0.0015	Cytokine activity
Function	GO:0019955	4	141	9606	IL12A,CNTFR,CRLF1,TNFRSF11A	IL12A,CNTFR,CRLF1,TNFRSF11A	1.91e-06	0.0047	Cytokine binding
Function	GO:0140359	3	50	9606	ABCA6,ABCA9,ABCA8	ABCA6,ABCA9,ABCA8	5.15e-06	0.0085	ABC-type transporter activity
Function	GO:0005102	7	1499	9606	IL17RC,TNFRSF11B,IL12A,CLCF1,IL27,CNTF,CNTFR	IL17RC,TNFRSF11B,IL12A,CLCF1,IL27,CNTF,CNTFR	1.7e-05	0.0143	Signaling receptor binding
Function	GO:0005126	4	270	9606	IL12A,CLCF1,IL27,CNTF	IL12A,CLCF1,IL27,CNTF	2.37e-05	0.0143	Cytokine receptor binding
Function	GO:0005127	2	8	9606	CLCF1,CNTF	CLCF1,CNTF	1.8e-05	0.0143	Ciliary neurotrophic factor receptor binding
Function	GO:0004896	3	96	9606	IL17RC,CNTFR,CRLF1	IL17RC,CNTFR,CRLF1	3.39e-05	0.0167	Cytokine receptor activity
DISEASES	DOID:0060294	3	5	9606	CLCF1,CNTFR,CRLF1	CLCF1,CNTFR,CRLF1	1.25e-08	5.75e-05	Cold-induced sweating syndrome
DISEASES	DOID:0080329	2	2	9606	CNTFR,CRLF1	CNTFR,CRLF1	2.41e-06	0.0055	Cold-induced sweating syndrome 1
DISEASES	DOID:0111542	2	2	9606	TNFRSF11B,TNFRSF11A	TNFRSF11B,TNFRSF11A	2.41e-06	0.0055	Familial expansile osteolysis
DISEASES	DOID:5408	2	7	9606	TNFRSF11B,TNFRSF11A	TNFRSF11B,TNFRSF11A	1.44e-05	0.0166	Pagets disease of bone
Keyword	KW-0325	11	4386	9606	ABCA6,IL17RC,TNFRSF11B,IL12A,CLCF1,ABCA9,IL27,CNTFR,CRLF1,TNFRSF11A,ABCA8	ABCA6,IL17RC,TNFRSF11B,IL12A,CLCF1,ABCA9,IL27,CNTFR,CRLF1,TNFRSF11A,ABCA8	3.33e-06	0.0022	Glycoprotein
KEGG	hsa04060	8	282	9606	IL17RC,TNFRSF11B,IL12A,CLCF1,IL27,CNTF,CNTFR,TNFRSF11A	IL17RC,TNFRSF11B,IL12A,CLCF1,IL27,CNTF,CNTFR,TNFRSF11A	2.41e-12	8.09e-10	Cytokine-cytokine receptor interaction
KEGG	hsa02010	3	45	9606	ABCA6,ABCA9,ABCA8	ABCA6,ABCA9,ABCA8	3.81e-06	0.00064	ABC transporters
KEGG	hsa04630	3	158	9606	IL12A,CNTF,CNTFR	IL12A,CNTF,CNTFR	0.00014	0.0161	JAK-STAT signaling pathway
InterPro	IPR009079	4	56	9606	IL12A,CLCF1,IL27,CNTF	IL12A,CLCF1,IL27,CNTF	5.43e-08	0.00039	Four-helical cytokine-like, core
InterPro	IPR026082	3	12	9606	ABCA6,ABCA9,ABCA8	ABCA6,ABCA9,ABCA8	1.01e-07	0.00039	ABC transporter A
InterPro	IPR022323	2	2	9606	TNFRSF11B,TNFRSF11A	TNFRSF11B,TNFRSF11A	2.41e-06	0.0058	Tumour necrosis factor receptor 11
InterPro	IPR003439	3	49	9606	ABCA6,ABCA9,ABCA8	ABCA6,ABCA9,ABCA8	4.86e-06	0.0087	ABC transporter-like, ATP-binding domain
Pfam	PF12698	3	12	9606	ABCA6,ABCA9,ABCA8	ABCA6,ABCA9,ABCA8	1.01e-07	0.00023	ABC-2 family transporter protein
Pfam	PF01110	2	2	9606	CLCF1,CNTF	CLCF1,CNTF	2.41e-06	0.0028	Ciliary neurotrophic factor
