Sample,ABCA6,CRLF1,TNFRSF11B,Diagnosis,ABCA6_SHAP,CRLF1_SHAP,TNFRSF11B_SHAP
GSM300205,4.80663918431354,8.12746203126128,4.61302344875006,0,-0.5070089,-0.12704603,-0.86019075
GSM300187,5.69346704353159,7.92887389527665,4.97843147151432,0,0.594006,-0.13487615,-0.86019075
GSM300172,4.57504528911102,8.44591986477377,4.61990162547179,0,-0.5070089,0.20252967,-0.86019075
GSM1176227,6.74513836823347,8.24893290287721,5.99685730911473,1,0.594006,0.20252967,0.97767746
GSM300174,4.59287803066279,7.77066854118237,5.02141564771536,0,-0.5070089,-0.13487615,-0.86019075
GSM1176212,6.85183043399825,8.79952258481721,6.40184767395162,1,0.594006,0.20252967,0.97767746
GSM300325,4.39563994865404,7.59722089727169,4.9050732453721,0,-0.5070089,-0.18269645,-0.86019075
GSM1176216,5.51621420571646,10.2667701367548,6.07422723767352,1,0.594006,0.20252967,0.97767746
GSM300268,5.44947409588248,7.35884721709624,4.25793676925283,0,0.594006,-0.18269645,-0.86019075
GSM300178,5.72571735983942,8.08331312091162,5.16623698694598,0,0.594006,-0.13487615,-0.86019075
GSM1176219,6.14647160037237,8.47968906606536,5.6695632257939,1,0.594006,0.20252967,0.97767746
GSM300339,5.07376032651658,7.08163371445745,4.95093656047845,0,-0.5070089,-0.18269645,-0.86019075
GSM300309,5.00601244785185,8.28988939982047,5.70060455113417,0,-0.5070089,0.20252967,0.97767746
GSM300313,4.88245021791508,7.49346318449859,4.8553399232878,0,-0.5070089,-0.18269645,-0.86019075
GSM1176222,4.83089506719296,8.2774761442478,5.66906847013961,1,-0.5070089,0.20252967,0.97767746
GSM300321,5.19726497508123,8.16563203789238,5.89858201825692,0,-0.2493249,-0.113007754,0.97767746
GSM300305,4.47331580561344,7.40002188047477,5.31199099894983,0,-0.5070089,-0.18269645,-0.86019075
GSM1176213,5.27746745889794,9.81236966052544,5.58899890500729,1,0.58750486,0.20252967,0.9587986
GSM300171,4.55478374276069,8.47861078395985,5.72645726508136,0,-0.5070089,0.20252967,0.97767746
GSM1176220,7.28612059518427,7.75959034602362,4.88393782194917,1,0.594006,-0.13487615,-0.86019075
GSM300227,3.82261438111905,7.56385375082584,5.53318045009075,0,-0.5070089,-0.18269645,0.6690447
GSM300317,4.69024735784345,8.49412112798162,5.45844689578746,0,-0.5070089,0.20252967,-0.5971892
GSM1176214,7.32722979602633,7.65568095133083,6.2368729818133,1,0.594006,-0.18269645,0.97767746
GSM1176211,6.96425839940941,8.24450698944771,6.44565723926649,1,0.594006,0.035107397,0.97767746
GSM300329,4.56871569438955,7.72088367160834,5.26435549292301,0,-0.5070089,-0.13487615,-0.86019075
GSM300223,4.79291283916088,6.95674544603067,5.32101601008948,0,-0.5070089,-0.18269645,-0.86019075
GSM1176226,5.33966806325174,7.21307892855522,5.50856108502915,1,0.594006,-0.18269645,0.6690447
GSM1176229,4.33721405912291,7.74666179682921,5.62513560280635,1,-0.5070089,-0.13487615,0.9587986
GSM300182,4.8962709957068,7.76535157085601,4.46312838150397,0,-0.5070089,-0.13487615,-0.86019075
GSM300286,5.12168231717119,7.64302100842576,4.73233151032354,0,-0.484638,-0.18269645,-0.86019075
GSM300168,4.65047634366304,7.59986555054464,5.40332801128853,0,-0.5070089,-0.18269645,-0.7981541
GSM300290,4.85704003014437,7.66268228600391,4.3932232683027,0,-0.5070089,-0.18269645,-0.86019075
GSM300170,4.60958649048098,7.76936933308033,5.24465044145199,0,-0.5070089,-0.13487615,-0.86019075
GSM300219,5.84598222836891,8.24488797866162,6.20936595556442,0,0.594006,0.035107397,0.97767746
GSM300209,5.59441427008123,9.00111958457353,5.27360757748701,0,0.594006,0.20252967,-0.86019075
GSM300255,6.90906529493239,8.30639948093823,5.08594407736574,0,0.594006,0.20252967,-0.86019075
GSM300243,6.67887154379812,6.5131381316081,4.3488143968838,0,0.594006,-0.18269645,-0.86019075
GSM300190,3.76982629174343,6.47333961346957,4.94773314523944,0,-0.5070089,-0.18269645,-0.86019075
GSM300185,4.86937345298023,7.16309338613057,5.26243048865897,0,-0.5070089,-0.18269645,-0.86019075
GSM1176224,8.06070397541067,8.3767043955189,7.717692243557,1,0.594006,0.20252967,0.97767746
GSM1176223,4.48878615367536,9.97713284755283,6.97843040152043,1,-0.5070089,0.20252967,0.97767746
GSM300197,4.33739515942993,7.55732776168598,5.44528622245683,0,-0.5070089,-0.18269645,-0.72951066
GSM1176215,4.8725034896314,7.68534613936003,4.34819121101074,1,-0.5070089,-0.13487615,-0.86019075
GSM300280,5.62016279581284,7.51253282058847,5.19233608865799,0,0.594006,-0.18269645,-0.86019075
GSM1176228,5.90794705309025,8.71899078069953,5.25101186844172,1,0.594006,0.20252967,-0.86019075
GSM300301,5.03715066838638,8.0343453591753,5.88413727854693,0,-0.5070089,-0.13487615,0.97767746
GSM300333,4.9054350021931,6.70292022659576,5.72694708005358,0,-0.5070089,-0.18269645,0.97767746
GSM300231,6.75187123722546,7.42287350354976,5.3398887880286,0,0.594006,-0.18269645,-0.7981541
GSM300294,4.54178630771308,8.79624077644763,5.08916250073845,0,-0.5070089,0.20252967,-0.86019075
