model,split,n,n_AD,n_Control,auc,ap,auc_ci_lo,auc_ci_hi
age_only,train,49,15.0,34.0,0.7411764705882353,0.47517696635087936,,
age_only,test,13,4.0,9.0,0.7083333333333334,0.5,,
age_only,external,23,10.0,13.0,0.4230769230769231,0.40113887660327285,0.1791517857142857,0.6818486201298699
sex_only,train,49,15.0,34.0,0.5313725490196078,0.3206349206349206,,
sex_only,test,13,4.0,9.0,0.5277777777777778,0.3205128205128205,,
sex_only,external,0,,,,,,
age_sex,train,49,15.0,34.0,0.7362745098039216,0.45612701807604356,,
age_sex,test,13,4.0,9.0,0.7083333333333334,0.5,,
age_sex,external,0,,,,,,
signature_3gene,train,49,15.0,34.0,0.8529411764705882,0.8238261429928095,,
signature_3gene,test,13,4.0,9.0,0.6944444444444444,0.69375,,
signature_3gene,external,23,10.0,13.0,0.7,0.594202602952603,0.4615196078431372,0.9090909090909091
signature_plus_age,train,49,15.0,34.0,0.9470588235294117,0.9239351851851851,,
signature_plus_age,test,13,4.0,9.0,0.7777777777777779,0.7041666666666666,,
signature_plus_age,external,23,10.0,13.0,0.6384615384615384,0.5994397759103641,0.38333333333333336,0.8749999999999999
