,cv_mean,cv_sd
sig3,0.8494285714285714,0.15417986113380408
Age,0.7414126984126984,0.15312366041598113
oligodendrocyte_score,0.369047619047619,0.13166472916855704
astrocyte_score,0.8675873015873016,0.1086942774766006
microglia_score,0.6606666666666667,0.18817232095447461
neuron_score,0.7813015873015874,0.18103187894471925
endothelial_score,0.6695873015873017,0.19014100402315842
OPC_score,0.4386349206349206,0.1803530481313515
three_gene_score,0.9344126984126985,0.0939356389130318
y,1.0,0.0
sig3+Age,0.944031746031746,0.07740487867786042
sig3+oligodendrocyte_score,0.8552063492063493,0.14349076063462465
sig3+astrocyte_score,0.9138412698412699,0.10079404574350818
sig3+microglia_score,0.8993015873015874,0.1297163057593138
sig3+neuron_score,0.8486984126984127,0.15847835265110283
sig3+endothelial_score,0.8484761904761906,0.1554493352921831
sig3+OPC_score,0.8473968253968254,0.14947460181770464
sig3+three_gene_score,0.9156507936507937,0.11197442838768504
sig3+y,1.0,0.0
