gene,selection_count,selection_frequency
TNFRSF11B,157,0.628
SORBS1,132,0.528
PMS2P2,129,0.516
CRLF1,126,0.504
ITPR2,123,0.492
ABCA6,110,0.44
TAB2,108,0.432
PLA2G7,101,0.404
PANK1,89,0.356
N4BP2,82,0.328
SYNC,81,0.324
DIAPH3,73,0.292
SSTR1,61,0.244
INPP5F,59,0.236
GRHL1,59,0.236
MAOB,53,0.212
MIR29B2CHG,52,0.208
ARHGAP36,50,0.2
CALB2,49,0.196
PCOLCE2,49,0.196
ELAVL2,44,0.176
BTN3A3,40,0.16
PTGER3,40,0.16
TMEM100,39,0.156
LOXL2,38,0.152
MEST,37,0.148
PCDHB4,37,0.148
RGMA,36,0.144
SMIM43,36,0.144
FGD6,34,0.136
PKIB,33,0.132
EFEMP1,32,0.128
LOC100240735,32,0.128
SV2C,31,0.124
LOC105369477,31,0.124
EPB41L4A,31,0.124
TMEM45A,30,0.12
INSM1,29,0.116
ANGPT1,29,0.116
NEFH,29,0.116
EID2B,28,0.112
RBM48,27,0.108
ISG15,27,0.108
LPAR4,26,0.104
SLC17A6,25,0.1
SERPINI2,25,0.1
CSGALNACT1,25,0.1
PWWP3B,25,0.1
HSFY1,25,0.1
CA10,25,0.1
DHCR7,24,0.096
MET,24,0.096
SPIN4,24,0.096
VSTM2A-OT1,23,0.092
VEGFA,22,0.088
KCTD4,22,0.088
MAP3K2-DT,22,0.088
CUTALP,20,0.08
GSTT2,20,0.08
CDKN2AIPNL,20,0.08
SCN7A,19,0.076
SDHAF4,19,0.076
LOC729218,19,0.076
GRP,19,0.076
HMBOX1,19,0.076
KCNJ8,19,0.076
DPYSL4,18,0.072
COCH,17,0.068
MCHR1,17,0.068
ADAMTS3,17,0.068
CD84,16,0.064
CLUL1,16,0.064
LTF,16,0.064
COL12A1,15,0.06
TBC1D7,15,0.06
GCH1,14,0.056
NFIA,14,0.056
IFI44L,14,0.056
ZBBX,13,0.052
CNTNAP3,13,0.052
MIR570HG,13,0.052
SNHG17,12,0.048
FGFR1,12,0.048
CCDC170,12,0.048
TET3,12,0.048
PARP14,12,0.048
CNTNAP2,11,0.044
CA12,11,0.044
RPS6KA5,11,0.044
CLGN,11,0.044
LINC00622,11,0.044
LOC100505874,11,0.044
THY1,10,0.04
EXOC8,10,0.04
TH,10,0.04
TRIM13,10,0.04
ABCG4,10,0.04
DNAJC6,10,0.04
PGAP1,10,0.04
A2M-AS1,9,0.036
F13A1,9,0.036
CHST2,9,0.036
SLC10A4,9,0.036
LTBP1,9,0.036
KISS1R,9,0.036
HES4,9,0.036
FAM241A,9,0.036
MCF2,9,0.036
PPFIA4,8,0.032
PLEKHH2,8,0.032
ADGRD1,8,0.032
PPP1R37,8,0.032
TUBB4A,8,0.032
MAN2A1,8,0.032
MPO,8,0.032
CHRNA7,8,0.032
LINC02712,8,0.032
KLRC2,8,0.032
ZNF117,8,0.032
STON2,8,0.032
LOC101927967,8,0.032
MS4A14,8,0.032
ADH1B,7,0.028
EIF3C,7,0.028
TFRC,7,0.028
C17orf75,7,0.028
SAMSN1,7,0.028
COL6A1,7,0.028
CLEC4GP1,7,0.028
MAB21L2,7,0.028
WASIR2,7,0.028
CKS2,7,0.028
SNCG,7,0.028
VAC14-AS1,7,0.028
PGM5-AS1,7,0.028
FILIP1L,7,0.028
VAMP1,7,0.028
UBE2S,7,0.028
MESP1,7,0.028
ADAMTS19,6,0.024
EMCN,6,0.024
HMGCR,6,0.024
ANKRD12,6,0.024
SLC25A25,6,0.024
SYT13,6,0.024
ADARB1,6,0.024
ANKRD39,6,0.024
RIPOR3,6,0.024
TEX26,6,0.024
SLC6A12,6,0.024
DDHD1,6,0.024
HYCC1,6,0.024
KRTAP5-AS1,6,0.024
ENOSF1,5,0.02
WBP2NL,5,0.02
KITLG,5,0.02
RDH14,5,0.02
AFF2,5,0.02
BGN,5,0.02
DIRAS3,5,0.02
NRXN3,5,0.02
IL17D,5,0.02
VGLL3,5,0.02
PIK3R3,5,0.02
EXPH5,5,0.02
LOC284412,5,0.02
NOS3,5,0.02
RASGRF2,5,0.02
DPYSL3,5,0.02
EPHX4,5,0.02
SYTL1,5,0.02
TMEM158,5,0.02
ZNF483,5,0.02
MEX3D,4,0.016
CAPN2,4,0.016
HLA-DPB1,4,0.016
FAHD1,4,0.016
WDR4,4,0.016
OSR1,4,0.016
TRIM73,4,0.016
EMILIN2,4,0.016
PNISR,4,0.016
PTPRE,4,0.016
C1QTNF4,4,0.016
CHGA,4,0.016
FAM13A,4,0.016
CYGB,4,0.016
RBBP5,4,0.016
UST,4,0.016
TUBG1,4,0.016
MTCL1,4,0.016
CRABP1,4,0.016
MINK1,4,0.016
LDLRAD3,4,0.016
MEG8,4,0.016
UEVLD,4,0.016
LGALS1,4,0.016
NABP1,4,0.016
BPGM,4,0.016
VAT1L,4,0.016
SOCS2,4,0.016
TP53INP1,3,0.012
HEY2,3,0.012
RELL2,3,0.012
ARRDC4,3,0.012
COPG2IT1,3,0.012
LOC375196,3,0.012
ACTRT3,3,0.012
ARHGAP6,3,0.012
PDCD6-AHRR,3,0.012
HLA-DQA1,3,0.012
TXLNGY,3,0.012
RASEF,3,0.012
NIPAL2,3,0.012
LRRC4B,3,0.012
ENG,3,0.012
NEK11,3,0.012
SST,3,0.012
C21orf62,3,0.012
PODXL2,3,0.012
CAMKK2,3,0.012
FARSA,3,0.012
TRIM22,3,0.012
CEMIP,3,0.012
AMD1,3,0.012
TMEM63C,3,0.012
OTOS,3,0.012
ADCY2,3,0.012
BMS1P1,3,0.012
BCAT1,3,0.012
STMN4,3,0.012
ACOT7,3,0.012
PHOSPHO2,3,0.012
OVOS2,3,0.012
EAF1,3,0.012
ZNF727,3,0.012
DOK7,3,0.012
ZSCAN31,3,0.012
