iteration,AUC,AP,best_C,n_selected,selected_genes
1,0.9523809523809524,0.9166666666666665,1.0,24,SLC17A6;SV2C;ARHGAP36;ABCA6;EFEMP1;SSTR1;TNFRSF11B;ADH1B;MAOB;N4BP2;MIR29B2CHG;SORBS1;LOC100240735;COL12A1;SNHG17;SCN7A;RGMA;PLA2G7;PMS2P2;ITPR2;DIAPH3;BTN3A3;RBM48;DHCR7
2,0.6666666666666666,0.6666666666666666,0.2,9,PKIB;TNFRSF11B;SYNC;SERPINI2;TAB2;DIAPH3;MEX3D;FAP;CAPN2
3,0.5238095238095237,0.5535714285714286,1.0,31,SV2C;ARHGAP36;VEGFA;ABCA6;THY1;ENOSF1;VSTM2A-OT1;PPFIA4;MEST;APBA1;LOC100240735;SNHG17;LOC105369477;SCN7A;THBS1;TP53INP1;FGD6;PLA2G7;PCDHB4;HEY2;EIF3C;PLEKHH2;DIAPH3;LOXL2;CSGALNACT1;RELL2;ADGRD1;KLF3-AS1;ADAMTS19;MAP1A;MAPK8IP2
4,0.38095238095238093,0.31746031746031744,0.5,20,ABCA6;SSTR1;CRLF1;ELAVL2;ARRDC4;TNFRSF11B;COPG2IT1;CNTNAP2;MEST;MET;SORBS1;TFRC;COCH;C17orf75;PMS2P2;SDHAF4;ITPRID2;EMCN;SAMSN1;PEG3
5,1.0,1.0,0.5,24,MGP;ZBBX;ABCA6;EFEMP1;SSTR1;CRLF1;TNFRSF11B;HLA-DPB1;MCHR1;TMEM45A;ADH1B;INPP5F;TMEM100;N4BP2;MIR29B2CHG;LOC100240735;LOC375196;PMS2P2;DIAPH3;ACTRT3;DPYSL4;PANK1;BTN3A3;FGFR1
6,0.7619047619047619,0.5555555555555556,1.0,28,ABCA6;CUTALP;SSTR1;NAPSB;CALB2;CRLF1;CA12;TNFRSF11B;TMEM45A;ARHGAP6;GSTT2;INSM1;SYNC;FAHD1;N4BP2;HMGCR;SORBS1;RGMA;FGD6;PLA2G7;PDCD6-AHRR;PCDHB4;GRHL1;DPYSL4;PANK1;LOC729218;COL6A1;SPIN4
7,0.6666666666666666,0.4666666666666667,0.2,8,EFEMP1;SSTR1;TNFRSF11B;TAB2;ITPR2;DIAPH3;PANK1;RBM48
8,0.8095238095238095,0.7222222222222222,0.2,11,ABCA6;THY1;CRLF1;MEST;WBP2NL;TAB2;SORBS1;FGD6;A2M-AS1;PLEKHH2;CSGALNACT1
9,0.4285714285714286,0.5277777777777778,0.5,19,HLA-DQA1;TXLNGY;ABCA6;ANGPT1;TNFRSF11B;MAOB;TMEM100;N4BP2;KITLG;SORBS1;COCH;RASEF;PLA2G7;CD84;RAC3;EPB41L4A;RPS6KA5;CDKN2AIPNL;PPP1R37
10,0.611111111111111,0.625,0.2,9,SMIM43;PWWP3B;ELAVL2;NIPAL2;INPP5F;SORBS1;CLGN;C17orf75;PMS2P2
11,0.7142857142857143,0.7777777777777777,0.2,12,PTGER3;ABCA6;GCH1;INSM1;HMGCR;SORBS1;GSKIP;FGD6;PCDHB4;DIAPH3;WDR4;RDH14
