genes,transfer_auc,within_auc
"PTGS2,CDH4,ITPKA",0.43846153846153846,0.6076923076923076
"NHSL2,PLEKHA2,CRYBB2",0.7538461538461538,0.7230769230769231
"KIN,ADGRG6,MAB21L2",0.7692307692307693,0.8384615384615385
"SLC44A5,TAF9,TMEM273",0.8307692307692307,0.7923076923076923
"ZBTB47-AS1,CHN2,GPC4",0.5923076923076923,0.676923076923077
"SEC24D,CORO6,ATP5MC3",0.8153846153846154,0.7692307692307692
"JAZF1,CLHC1,AKT3",0.676923076923077,0.7692307692307693
"CACNA1E,GUSBP14,PAQR6",0.8538461538461538,0.8384615384615384
"KCTD16,C8orf34-AS1,CHCHD6",0.8769230769230769,0.8923076923076922
"COL5A2,BTBD10,IFT80",0.8769230769230769,0.8461538461538461
"DLX6-AS1,TYROBP,COPS3",0.9153846153846154,0.9153846153846154
"TBC1D7,ETS2,SELENBP1",0.8230769230769232,0.8153846153846154
"FZD3,RNF182,GM2A",0.3384615384615385,0.7692307692307693
"SEPTIN5,NRG3,TTC9",0.6076923076923078,0.8384615384615385
"SLC24A2,VCL,TRANK1",0.4307692307692308,0.5
"LOC105371352,MACO1,THAP9",0.7538461538461538,0.9153846153846154
"CEBPZOS,CLDN10,SLC22A4",0.7769230769230769,0.7615384615384615
"RBBP4,NME7,ELAVL4",0.5692307692307692,0.7923076923076924
"RTN2,PLA2G5,TSTD1",0.25384615384615383,0.8769230769230769
"TGFBR3,EPHX4,GFRA2",0.5230769230769231,0.5
"HBA1,IL17RB,LRP10",0.40769230769230763,0.8307692307692308
"H2BC12L,SYNE3,ADCY9",0.5615384615384615,0.3076923076923077
"HBA2,RNF180,SLC6A13",0.39230769230769225,0.24615384615384617
"SERPINA3,BMS1P2,SAMD12",0.9384615384615385,0.9307692307692308
"SEC24D,POPDC3,CEP152",0.5923076923076923,0.7692307692307692
"MIR124-2HG,ADCY7,RGS18",0.6461538461538462,0.6692307692307693
"MTHFD1L,REPS2,NEBL",0.5538461538461539,0.8923076923076922
"SYT12,GOLIM4,C12orf76",0.4076923076923077,0.9076923076923076
"FAM234B,MTMR10,PARD3",0.5769230769230769,0.2461538461538461
"MYADM,CHD3,ECHDC1",0.9076923076923077,0.8461538461538461
"MPEG1,CAMK2A,RCBTB1",0.47692307692307695,0.7615384615384615
"LOC100996756,NEUROD1,CYP39A1",0.773076923076923,0.8692307692307693
"OMD,POU2AF1,FHL2",0.9076923076923077,0.8846153846153846
"GALNT17,RETREG1,PAPLN",0.7692307692307693,0.9076923076923077
"HDGFL3,TCF7L1,WHRN",0.6884615384615385,1.0
"TOB2,GPAT3,FAM221A",0.41923076923076924,0.46153846153846156
"SEMA5A,ALDH8A1,SPACDR",0.823076923076923,0.7461538461538462
"DIPK1B,TMBIM1,PACRG-AS3",0.6692307692307693,0.5846153846153848
"CNTN2,DUSP5,CDC42BPA",0.9076923076923078,0.823076923076923
"GPT2,GINS1,OLMALINC",0.7076923076923076,0.3384615384615384
"TRIP13,PKIA,OPA1",0.8923076923076922,0.7538461538461538
"LACTB2,PWAR5,SH3PXD2A",0.5,0.8692307692307693
"SHANK2,RAB33A,FOLH1B",0.6461538461538461,0.7461538461538462
"RANBP2,TLE1,PREX1",0.13846153846153844,0.7692307692307692
